Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,500,0.9824561403508771,1.0,0.972972972972973,1.0,0.9523809523809523,1.0
real,fake,500,0.5609756097560976,0.8205128205128205,0.92,0.7631578947368421,0.5660377358490566,1.0
fake,real,500,1.0,0.9782608695652174,0.972972972972973,0.6153846153846154,1.0,1.0
fake,fake,500,0.975609756097561,0.9743589743589743,0.92,0.9473684210526315,0.9245283018867925,1.0
real,real,500,0.9791666666666666,1.0,0.9523809523809523,1.0,0.9607843137254902,1.0
real,fake,500,0.4642857142857143,0.8780487804878049,0.94,0.9722222222222222,0.8125,0.9743589743589743
fake,real,500,1.0,1.0,1.0,0.2777777777777778,1.0,1.0
fake,fake,500,1.0,0.975609756097561,0.96,0.9722222222222222,0.9791666666666666,1.0
real,real,500,0.9866666666666667,0.9798657718120806,0.9448818897637795,0.9629629629629629,0.9817073170731707,1.0
real,fake,500,0.8122956180510137,0.9481582537517054,0.9422043010752689,0.7748655913978495,0.8019543973941368,0.9973226238286479
fake,real,500,0.9933333333333333,0.8926174496644296,0.905511811023622,0.42962962962962964,1.0,1.0
fake,fake,500,0.9882275997383911,0.980218281036835,0.9737903225806451,0.9946236559139785,0.996742671009772,1.0
real,real,500,0.9636363636363636,1.0,0.8958333333333334,0.9111111111111111,0.98,1.0
real,fake,500,0.4523809523809524,0.8148148148148148,0.7674418604651163,0.7333333333333333,0.7837837837837838,0.9795918367346939
fake,real,500,1.0,0.9444444444444444,0.8541666666666666,0.8222222222222222,1.0,1.0
fake,fake,500,1.0,0.9444444444444444,0.6976744186046512,0.9555555555555556,0.9459459459459459,0.9795918367346939
real,real,1000,1.0,0.8936170212765957,1.0,1.0,1.0,1.0
real,fake,1000,0.0,0.0,0.5714285714285714,0.0,0.0,0.2608695652173913
fake,real,1000,0.0,1.0,0.0,0.0,0.0,0.0
fake,fake,1000,0.6521739130434783,0.875,0.5714285714285714,0.5333333333333333,0.5686274509803921,0.6304347826086957
real,real,1000,0.9929078014184397,0.9868421052631579,0.9661016949152542,0.9681528662420382,1.0,1.0
real,fake,1000,0.003115264797507788,0.0033333333333333335,0.16842105263157894,0.0032258064516129032,0.0,0.23958333333333334
fake,real,1000,1.0,1.0,0.0,0.0,0.0,0.3860759493670886
fake,fake,1000,0.9034267912772586,0.97,0.5964912280701754,0.7580645161290323,0.7668918918918919,0.8298611111111112
real,real,1000,1.0,0.9722222222222222,0.9172932330827067,0.9930555555555556,0.9602272727272727,1.0
real,fake,1000,0.0,0.010135135135135136,0.1640378548895899,0.0,0.0,0.4900662251655629
fake,real,1000,0.3798449612403101,1.0,0.0,0.0,0.0,0.42138364779874216
fake,fake,1000,0.8695652173913043,0.9527027027027027,0.6813880126182965,0.7361563517915309,0.7549668874172185,0.8675496688741722
real,real,1000,0.9876543209876543,0.9872611464968153,0.9747899159663865,0.9788732394366197,0.9801324503311258,1.0
real,fake,1000,0.0072992700729927005,0.04838709677419355,0.04504504504504504,0.006535947712418301,0.0,0.31802120141342755
fake,real,1000,1.0,1.0,0.0,0.0,0.0,0.0
fake,fake,1000,0.8941605839416058,0.9774193548387097,0.6696696696696697,0.7091503267973857,0.6700680272108843,0.8621908127208481
real,real,1000,1.0,0.9855072463768116,0.9666666666666667,1.0,0.9820359281437125,1.0
real,fake,1000,0.010238907849829351,0.02666666666666667,0.05806451612903226,0.0,0.0,0.4250871080139373
fake,real,1000,1.0,1.0,0.14166666666666666,0.0,0.0,1.0
fake,fake,1000,0.8907849829351536,0.92,0.6580645161290323,0.7658227848101266,0.6700680272108843,0.8606271777003485
real,real,1000,1.0,0.9858156028368794,0.943089430894309,0.9696969696969697,0.9881656804733728,1.0
real,fake,1000,0.010416666666666666,0.01056338028169014,0.06624605678233439,0.006557377049180328,0.0,0.49110320284697506
fake,real,1000,1.0,1.0,0.16260162601626016,0.0,0.0,1.0
fake,fake,1000,0.9548611111111112,0.9647887323943662,0.5962145110410094,0.7967213114754098,0.8061538461538461,0.9074733096085409
real,real,1000,0.9932432432432432,0.971830985915493,0.9921875,0.9846153846153847,0.9751552795031055,1.0
real,fake,1000,0.01020408163265306,0.14144736842105263,0.016181229773462782,0.0034129692832764505,0.0,0.5068027210884354
fake,real,1000,0.0,1.0,0.125,0.0,0.0,0.9090909090909091
fake,fake,1000,0.8809523809523809,0.9671052631578947,0.6019417475728155,0.8054607508532423,0.7058823529411765,0.8775510204081632
real,real,1000,0.9933333333333333,0.9852941176470589,0.9230769230769231,0.9929577464788732,0.9945054945054945,1.0
real,fake,1000,0.0231023102310231,0.02040816326530612,0.078125,0.0033112582781456954,0.0,0.4423076923076923
fake,real,1000,1.0,1.0,0.0,0.0,0.0,1.0
fake,fake,1000,0.9405940594059405,0.9659863945578231,0.6875,0.7350993377483444,0.7955390334572491,0.8621794871794872
real,real,1000,0.9932885906040269,1.0,0.9477611940298507,0.9627329192546584,0.9937888198757764,1.0
real,fake,1000,0.019867549668874173,0.0064516129032258064,0.10273972602739725,0.0,0.0,0.48928571428571427
fake,real,1000,1.0,1.0,0.13432835820895522,0.0,0.0,1.0
fake,fake,1000,0.890728476821192,0.967741935483871,0.6027397260273972,0.7802547770700637,0.7052980132450332,0.8571428571428571
real,real,1000,0.96875,0.9624060150375939,0.9568965517241379,0.9731543624161074,0.9940828402366864,1.0
real,fake,1000,0.041811846689895474,0.0031746031746031746,0.038834951456310676,0.003401360544217687,0.0,0.4342105263157895
fake,real,1000,1.0,1.0,0.0603448275862069,0.0,0.0,1.0
fake,fake,1000,0.9372822299651568,0.9492063492063492,0.6796116504854369,0.7448979591836735,0.7216494845360825,0.8651315789473685
